Roll_No,Name,Gender,Semester,Branch,Attandance,Maths,DS,OS,DBMS,AI,Study_houre,Final_Percentage,Performance_Label,Father_Name,Mother_Name,Blood_Group,Date_of_Birth,Age,City,Address,Pincode,State,Country,Participant,Mobile_Number,Email_ID,Game
RGPV0381,Samaira Jaggi,Female,6th,AIDS,79,100,96,71,55,48,6,74,Average,Gokul Mane,Krish Chokshi,O-,06-02-2006,20,Chennai,"House No. 330, Velachery, Chennai",471518,Tamil Nadu,India,No,7022113165,shamik50@bawa-sundaram.org,Chess
RGPV0382,Indrajit Dhaliwal,Male,6th,DS,79,81,99,63,43,47,5,66.6,Average,Aaryahi Jaggi,Tushar Master,AB-,10-08-2003,20,Indore,"House No. 65, Vijay Nagar, Indore",150390,Madhya Pradesh,India,No,8525001952,fgulati@seth.com,Cricket
RGPV0383,Vritika Magar,Male,6th,CSE,61,81,45,69,67,98,6,72,Average,Navya Kohli,Stuvan Choudhary,O+,31-10-2006,20,Jabalpur,"House No. 771, Gorakhpur, Jabalpur",283785,Madhya Pradesh,India,No,6136744330,hkalla@gera.com,Badminton
RGPV0384,Samar Sama,Male,6th,CSE,81,61,61,69,41,77,5,61.8,Average,Shaan Kanda,Akarsh Kannan,O-,25-01-2008,20,Jalandhar,"House No. 217, Lajpat Nagar, Jalandhar",291503,Punjab,India,No,6407371772,urvimallick@yahoo.com,
RGPV0385,Zaina Kothari,Female,6th,CSIT,68,82,68,82,80,78,6,78,Excellent,Farhan Verma,Saira Dhar,AB-,25-05-2005,19,Udaipur,"House No. 899, Fatehpura, Udaipur",734509,Rajasthan,India,No,9410229128,cdesai@chaudhari-sengupta.com,Chess
RGPV0386,Sana Sharma,Female,6th,DS,68,75,82,76,41,46,5,64,Average,Inaaya  Gupta,Inaaya  Savant,B+,27-02-2000,21,Vadodara,"House No. 859, Alkapuri, Vadodara",736040,Gujarat,India,No,4999684524,manjari53@yahoo.com,
RGPV0387,Heer Varghese,Male,6th,AIML,80,83,97,93,78,61,7,82.4,Excellent,Nakul Rajan,Anya Garde,B+,11-09-2007,21,Madurai,"House No. 943, Goripalayam, Madurai",577094,Tamil Nadu,India,Yes,7705424091,gabadharmajan@krishnan.info,
RGPV0388,Ela Ray,Female,6th,CSIT,88,45,41,50,83,85,5,60.8,Average,Prisha Barad,Abram Ratta,O+,22-09-2006,19,Jaipur,"House No. 731, Mansarovar, Jaipur",449926,Rajasthan,India,Yes,8378549923,srivastavaryan@gmail.com,Kabaddi
RGPV0389,Myra Sheth,Female,6th,CSIT,74,80,84,74,98,60,6,79.2,Excellent,Reyansh Hayer,Lavanya Kaur,O+,06-04-2005,19,Muzaffarpur,"House No. 673, Brahmpura, Muzaffarpur",333602,Bihar,India,Yes,8902090614,mohanlalsastry@hotmail.com,Cricket
RGPV0390,Zaina Verma,Female,6th,CSE,84,95,43,69,43,89,5,67.8,Average,Jivika Vora,Yuvraj  Hayer,AB+,12-08-2002,20,Lucknow,"House No. 783, Hazratganj, Lucknow",941142,Uttar Pradesh,India,Yes,4028794334,sethpari@chacko.com,Cricket
RGPV0391,Damini Sekhon,Male,6th,CSIT,68,100,98,56,79,73,7,81.2,Excellent,Himmat Chacko,Romil Sachar,AB+,16-09-2001,19,Gaya,"House No. 569, Delha, Gaya",603919,Bihar,India,Yes,2247724158,sanghaadvika@gmail.com,Chess
RGPV0392,Kiaan Salvi,Male,6th,AIDS,97,100,80,55,95,56,6,77.2,Excellent,Oorja Baral,Faiyaz Bhat,O-,02-09-2005,19,Varanasi,"House No. 627, Lanka, Varanasi",214904,Uttar Pradesh,India,Yes,7677307831,cgill@hotmail.com,Football
RGPV0393,Kanav Venkatesh,Male,6th,CSE,67,51,63,98,93,67,6,74.4,Average,Yashvi Kumer,Rasha Manne,AB-,28-02-2002,19,Coimbatore,"House No. 804, Saibaba Colony, Coimbatore",758365,Tamil Nadu,India,No,8760859265,wwason@dewan.com,Badminton
RGPV0394,Rania Shere,Male,6th,AIML,69,89,67,94,41,55,5,69.2,Average,Kanav Bail,Yashvi Bhattacharyya,O-,27-09-2003,19,Madurai,"House No. 997, KK Nagar, Madurai",4657,Tamil Nadu,India,Yes,2883163462,thegde@rajagopal-chawla.com,Cricket
RGPV0395,Kiara Sani,Male,6th,AIML,60,64,71,45,64,55,4,59.8,Poor,Kimaya Bhargava,Divij Krishnamurthy,O-,17-05-2005,19,Bengaluru,"House No. 311, Whitefield, Bengaluru",435542,Karnataka,India,Yes,4573599215,taran36@gmail.com,Cricket
RGPV0396,Chirag Sha,Male,6th,AIML,79,92,77,78,95,89,7,86.2,Excellent,Ehsaan Sekhon,Rhea Singh,O-,11-01-2005,20,Jabalpur,"House No. 191, Wright Town, Jabalpur",662531,Madhya Pradesh,India,No,6875716997,sarinshray@yahoo.com,Football
RGPV0397,Keya Dhar,Female,6th,CSE,66,43,76,89,64,88,6,72,Average,Hunar Bhatia,Damini Doctor,O+,24-01-2004,19,Surat,"House No. 86, Adajan, Surat",647327,Gujarat,India,No,6209868648,yborde@sheth.com,Chess
RGPV0398,Myra Apte,Female,6th,AIML,68,73,79,94,75,62,6,76.6,Excellent,Aarush Madan,Kiaan Sathe,O+,29-11-2005,19,Jodhpur,"House No. 995, Sardarpura, Jodhpur",902045,Rajasthan,India,Yes,6124349144,nayantarasaini@gmail.com,Badminton
RGPV0399,Nishith Bahri,Male,6th,AIDS,88,85,51,79,95,51,6,72.2,Average,Keya Warrior,Trisha Kothari,O-,13-04-2004,20,Patna,"House No. 762, Rajendra Nagar, Patna",587670,Bihar,India,Yes,9221317652,aliahari@choudhry.com,Chess
RGPV0400,Sana Talwar,Male,6th,DS,68,54,60,91,100,76,6,76.2,Excellent,Onkar Thaker,Nitara Buch,A-,19-06-2000,19,Amritsar,"House No. 132, Lawrence Road, Amritsar",952640,Punjab,India,No,1710093662,inaaya-basak@gmail.com,Chess
RGPV0401,Emir Salvi,Female,6th,AIML,80,90,85,78,85,67,7,81,Excellent,Raghav Taneja,Sara Balay,O+,11-07-2000,20,Ahmedabad,"House No. 51, Satellite, Ahmedabad",868233,Gujarat,India,Yes,814184013,ratirattan@gmail.com,Cricket
RGPV0402,Ritvik Issac,Female,6th,CSE,82,41,81,49,62,55,4,57.6,Poor,Ivana Sanghvi,Nayantara Zacharia,AB+,01-03-2001,20,Madurai,"House No. 295, Goripalayam, Madurai",526968,Tamil Nadu,India,No,9907698584,chakrabortyjiya@hotmail.com,Cricket
RGPV0403,Yuvraj  Sidhu,Male,6th,CSE,65,53,91,83,50,99,6,75.2,Excellent,Aayush Kalita,Nakul Jayaraman,O-,31-10-2004,20,Durgapur,"House No. 280, Bidhannagar, Durgapur",322210,West Bengal,India,No,8164348657,qmadan@chand-chaudhary.info,Badminton
RGPV0404,Nitya Bora,Male,6th,DS,84,58,64,94,60,65,5,68.2,Average,Madhav Barad,Renee Sabharwal,O+,29-05-2004,21,Patna,"House No. 174, Rajendra Nagar, Patna",124109,Bihar,India,Yes,1043127306,nitarahayre@hotmail.com,Football
RGPV0405,Diya Keer,Male,6th,DS,80,61,52,71,52,59,4,59,Poor,Ishaan Chaudry,Shayak Swaminathan,B-,03-11-2004,19,Indore,"House No. 876, Palasia, Indore",588281,Madhya Pradesh,India,No,8086648407,ksridhar@hotmail.com,Cricket
RGPV0406,Azad Zachariah,Female,6th,AIML,84,92,62,65,84,81,6,76.8,Excellent,Gatik Shenoy,Suhana Keer,B+,18-02-2006,21,Bhopal,"House No. 15, Arera Colony, Bhopal",218338,Madhya Pradesh,India,No,5104769756,aradhya10@yahoo.com,Cricket
RGPV0407,Armaan Dhingra,Male,6th,DS,83,42,92,84,79,52,5,69.8,Average,Kanav Loke,Kanav Kumar,O+,25-03-2001,19,Indore,"House No. 487, Rajendra Nagar, Indore",627698,Madhya Pradesh,India,No,5643877242,deyela@deshpande.org,Badminton
RGPV0408,Tara Thaman,Male,6th,AIDS,97,100,55,70,75,100,6,80,Excellent,Jivika Dave,Saksham Rana,B+,30-11-2002,19,Mysuru,"House No. 969, VV Mohalla, Mysuru",318850,Karnataka,India,Yes,919413961,rohan28@bhalla.com,Badminton
RGPV0409,Rhea Dhillon,Female,6th,DS,88,83,81,81,64,61,6,74,Average,Heer Chander,Anay Goswami,AB-,29-11-2006,19,Surat,"House No. 50, Adajan, Surat",709387,Gujarat,India,No,222944077,baijubhat@ratta-zacharia.info,Cricket
RGPV0410,Kaira Devan,Female,6th,DS,92,98,57,95,61,91,7,80.4,Excellent,Vihaan Mahajan,Madhup Gola,AB-,23-09-2004,21,Jaipur,"House No. 960, Vaishali Nagar, Jaipur",16712,Rajasthan,India,No,2948890745,qwadhwa@dhar.com,Chess
RGPV0411,Dhanuk Deshmukh,Male,6th,AIDS,97,55,45,56,73,68,4,59.4,Poor,Samaira Soman,Alisha Gour,AB+,29-01-2003,19,Surat,"House No. 621, Adajan, Surat",416822,Gujarat,India,Yes,3508736292,hvig@sanghvi.net,Chess
RGPV0412,Pari Kurian,Male,6th,CSE,76,66,42,83,40,52,4,56.6,Poor,Pari Kothari,Damini Chokshi,A+,27-11-2005,21,Ludhiana,"House No. 802, Dugri, Ludhiana",667043,Punjab,India,Yes,1666074202,aaryahi07@dubey-varughese.com,Badminton
RGPV0413,Raghav Madan,Male,6th,AIML,93,86,96,40,58,92,6,74.4,Average,Anahi Balan,Zara Solanki,O-,17-10-2001,21,Ludhiana,"House No. 640, Dugri, Ludhiana",569452,Punjab,India,Yes,4788120213,bhamini94@sachdeva.com,Badminton
RGPV0414,Myra Mand,Female,6th,AIDS,74,89,99,59,64,88,6,79.8,Excellent,Nirvaan Sengupta,Samaira Barad,A+,22-11-2000,20,Bhopal,"House No. 318, Arera Colony, Bhopal",964762,Madhya Pradesh,India,Yes,3536092655,pgarde@gmail.com,Cricket
RGPV0415,Shlok Chandra,Male,6th,DS,75,64,45,65,66,58,4,59.6,Poor,Gatik Ramakrishnan,Mishti Kakar,O+,10-10-2004,20,Nagpur,"House No. 818, Sadar, Nagpur",403663,Maharashtra,India,No,9138522907,jrau@gmail.com,
RGPV0416,Madhav Gupta,Male,6th,DS,68,87,71,100,54,57,6,73.8,Average,Ryan Rajan,Devansh Borde,B-,26-11-2000,20,Jalandhar,"House No. 573, Model Town, Jalandhar",841322,Punjab,India,No,4470852187,neysa06@mandal.com,Chess
RGPV0417,Vivaan Raj,Female,6th,AIML,93,88,58,51,51,92,5,68,Average,Aaryahi Trivedi,Manjari Kar,B+,20-02-2001,19,Durgapur,"House No. 84, City Center, Durgapur",799974,West Bengal,India,No,5496325694,rsrinivasan@kamdar.com,Badminton
RGPV0418,Veer Vohra,Female,6th,AIML,78,72,68,45,66,61,5,62.4,Average,Sana Chawla,Gokul Verma,B+,25-03-2000,20,Siliguri,"House No. 335, Hakim Para, Siliguri",897725,West Bengal,India,No,2818854931,dsubramanian@yahoo.com,Chess
RGPV0419,Mishti Devan,Female,6th,CSIT,83,74,77,71,57,49,5,65.6,Average,Rohan Iyengar,Aarav Kara,B-,19-08-2007,21,Jalandhar,"House No. 235, Urban Estate, Jalandhar",269953,Punjab,India,No,1991169891,mmagar@gulati-kala.com,Football
RGPV0420,Anya Borra,Male,6th,AIML,86,68,75,58,69,49,5,63.8,Average,Prisha Jani,Samaira Tailor,A-,05-08-2007,20,Vadodara,"House No. 543, Alkapuri, Vadodara",915321,Gujarat,India,No,2201511939,rohanwali@tripathi-kala.info,Badminton
RGPV0421,Jayesh Mangal,Male,6th,DS,68,85,61,50,66,72,5,66.8,Average,Siya Gade,Gokul Lala,O-,23-05-2007,20,Jodhpur,"House No. 815, Paota, Jodhpur",142299,Rajasthan,India,No,57541747,esethi@chaudhry.com,Badminton
RGPV0422,Dishani Koshy,Male,6th,DS,84,70,69,41,61,53,4,58.8,Poor,Yashvi Cherian,Diya Uppal,AB+,13-03-2004,21,Udaipur,"House No. 173, Fatehpura, Udaipur",477159,Rajasthan,India,No,8855650634,beraishaan@hotmail.com,
RGPV0423,Ishaan Bhasin,Female,6th,CSE,77,58,77,48,96,82,6,72.2,Average,Advik Sangha,Kanav Jain,A+,29-12-2003,19,Ahmedabad,"House No. 566, Maninagar, Ahmedabad",904218,Gujarat,India,Yes,9806581216,sara02@yahoo.com,Football
RGPV0424,Farhan Deo,Female,6th,CSE,85,73,62,56,69,85,5,69,Average,Alia Kala,Purab Malhotra,AB-,06-11-2005,20,Jalandhar,"House No. 423, Urban Estate, Jalandhar",572254,Punjab,India,Yes,3152966427,kulkarnishalv@balay.com,Football
RGPV0425,Oorja Vasa,Male,6th,CSIT,67,51,56,44,90,93,5,66.8,Average,Rhea Deep,Vritika Gole,A+,16-08-2005,20,Jaipur,"House No. 367, Malviya Nagar, Jaipur",30994,Rajasthan,India,Yes,3360619946,daraprisha@yahoo.com,Badminton
RGPV0426,Nirvi Tank,Male,6th,AIDS,74,79,96,69,68,64,6,75.2,Excellent,Jayesh Bala,Yuvaan Lala,O-,13-05-2001,21,Jaipur,"House No. 914, Malviya Nagar, Jaipur",714085,Rajasthan,India,No,8487940988,rastogisaksham@gmail.com,Badminton
RGPV0427,Samarth Subramaniam,Female,6th,AIDS,77,95,57,93,53,55,6,70.6,Average,Parinaaz Dayal,Anya Sarma,A-,15-01-2006,20,Kolkata,"House No. 689, Park Street, Kolkata",113520,West Bengal,India,No,7077566824,jiya91@yahoo.com,Kabaddi
RGPV0428,Sumer Luthra,Male,6th,CSIT,85,50,79,54,43,71,4,59.4,Poor,Prisha Badami,Aarav Badal,AB-,04-03-2007,21,Patna,"House No. 349, Kankarbagh, Patna",80807,Bihar,India,No,7717404743,oorjakrishnamurthy@arora.info,Kabaddi
RGPV0429,Anya Borde,Male,6th,CSE,60,83,99,97,51,70,6,80,Excellent,Eshani Dass,Akarsh Bal,B-,05-12-2002,20,Varanasi,"House No. 310, Lanka, Varanasi",819136,Uttar Pradesh,India,Yes,655169879,tejas08@sridhar-biswas.com,Football
RGPV0430,Gokul Handa,Female,6th,CSE,76,82,43,97,88,100,7,82,Excellent,Romil Lanka,Jayesh Sathe,AB+,10-07-2002,21,Surat,"House No. 983, Katargam, Surat",856134,Gujarat,India,No,1256515328,naurora@kaur.com,Cricket
RGPV0431,Parinaaz Balakrishnan,Female,6th,AIML,90,58,74,98,81,43,6,70.8,Average,Keya Chowdhury,Vanya Apte,B-,12-01-2001,19,Jabalpur,"House No. 553, Gorakhpur, Jabalpur",789010,Madhya Pradesh,India,No,8317620619,batrainaaya@hotmail.com,Kabaddi
RGPV0432,Hunar Bora,Female,6th,CSIT,88,46,91,88,81,92,6,79.6,Excellent,Mahika Rajagopal,Zeeshan Lad,A+,11-09-2006,19,Siliguri,"House No. 584, Hakim Para, Siliguri",595451,West Bengal,India,No,3938989001,mohanlal05@hotmail.com,Chess
RGPV0433,Manjari Jani,Female,6th,DS,65,67,66,87,44,87,6,70.2,Average,Navya Gole,Zeeshan Sastry,B-,17-10-2000,19,Muzaffarpur,"House No. 19, Mithanpura, Muzaffarpur",719519,Bihar,India,Yes,6173529172,walilagan@jani-mane.net,Cricket
RGPV0434,Lakshit Bhakta,Male,6th,AIML,71,42,87,61,43,97,5,66,Average,Dharmajan Maharaj,Madhup Apte,O-,19-05-2002,19,Jodhpur,"House No. 694, Ratanada, Jodhpur",30836,Rajasthan,India,Yes,1894603626,ebassi@hotmail.com,
RGPV0435,Samaira Dani,Male,6th,CSIT,98,72,50,80,61,42,5,61,Average,Amani Badami,Veer Sridhar,A-,17-04-2003,19,Bhopal,"House No. 466, MP Nagar, Bhopal",127362,Madhya Pradesh,India,Yes,9781963915,varugheseoorja@devan.com,Cricket
RGPV0436,Advika Sankaran,Male,6th,AIDS,69,50,69,78,47,50,4,58.8,Poor,Aaina Tella,Jivin Virk,B-,24-06-2005,19,Siliguri,"House No. 936, Hakim Para, Siliguri",986363,West Bengal,India,No,2833958127,zara45@bansal.info,
RGPV0437,Uthkarsh Rattan,Male,6th,AIDS,67,52,87,98,49,75,6,72.2,Average,Dhanuk Ram,Mannat Goyal,B-,02-01-2004,19,Vadodara,"House No. 638, Fatehgunj, Vadodara",356130,Gujarat,India,No,1399479490,rania93@yahoo.com,Chess
RGPV0438,Jayant Garde,Female,6th,CSE,87,92,75,79,90,56,6,78.4,Excellent,Ira Krishna,Charvi Gaba,A+,15-01-2006,19,Surat,"House No. 259, Adajan, Surat",105183,Gujarat,India,No,5301747880,desaiinaaya@yahoo.com,Football
RGPV0439,Indrajit Trivedi,Female,6th,DS,86,44,43,51,73,63,4,54.8,Poor,Darshit Dhaliwal,Advik Sodhi,AB-,04-01-2005,21,Amritsar,"House No. 708, Lawrence Road, Amritsar",407305,Punjab,India,Yes,1496889080,ehsaan93@shetty-kala.com,Football
RGPV0440,Riaan Wason,Male,6th,CSE,60,73,58,46,82,92,6,70.2,Average,Vidur Kashyap,Ojas Borra,A+,18-02-2006,21,Varanasi,"House No. 400, Lanka, Varanasi",381256,Uttar Pradesh,India,No,1723221376,samiha69@dave.com,Football
RGPV0441,Yuvaan Kari,Female,6th,AIML,76,79,80,96,48,96,6,79.8,Excellent,Aarna Ben,Bhavin Kar,O+,13-08-2001,20,Gaya,"House No. 405, Civil Lines, Gaya",448591,Bihar,India,No,1904494467,zachariahahana@sheth.biz,Chess
RGPV0442,Renee Ranganathan,Male,6th,CSIT,90,81,91,72,40,87,6,74.2,Average,Fateh Kapur,Gokul Trivedi,O+,23-06-2006,20,Jabalpur,"House No. 563, Wright Town, Jabalpur",257012,Madhya Pradesh,India,No,4529637408,mishashan@hayer.info,Badminton
RGPV0443,Misha Behl,Male,6th,CSE,77,97,96,46,84,55,6,75.6,Excellent,Zeeshan Datta,Vritika Gulati,O+,06-08-2004,20,Muzaffarpur,"House No. 299, Mithanpura, Muzaffarpur",283115,Bihar,India,Yes,6688795592,crajan@hotmail.com,Badminton
RGPV0444,Mamooty Dani,Male,6th,DS,81,70,46,99,69,87,6,74.2,Average,Dhanuk Shan,Prerak Tiwari,A+,07-01-2001,21,Ahmedabad,"House No. 943, Maninagar, Ahmedabad",973950,Gujarat,India,No,7661550761,dasinaaya@ghosh.biz,Cricket
RGPV0445,Amira Bose,Female,6th,DS,79,66,99,73,90,72,6,80,Excellent,Rohan Jani,Kimaya Mani,B-,10-05-2001,20,Jaipur,"House No. 851, Vaishali Nagar, Jaipur",130235,Rajasthan,India,Yes,4831731894,anahita34@swamy.net,Chess
RGPV0446,Dhanuk Chad,Male,6th,AIML,70,69,65,94,94,60,6,76.4,Excellent,Pranay Solanki,Kimaya Dave,B+,01-04-2006,19,Udaipur,"House No. 536, Shobhagpura, Udaipur",463467,Rajasthan,India,Yes,7601452177,ukamdar@hotmail.com,Badminton
RGPV0447,Amira Chakrabarti,Female,6th,AIML,86,79,67,77,85,49,6,71.4,Average,Advik Wason,Kaira Krishnan,B+,29-12-2007,21,Chennai,"House No. 466, Anna Nagar, Chennai",656461,Tamil Nadu,India,Yes,1280355860,daranitya@yahoo.com,Kabaddi
RGPV0448,Veer Vora,Female,6th,DS,62,79,56,76,93,86,6,78,Excellent,Inaaya  Sunder,Pari Baria,AB-,06-06-2007,19,Pune,"House No. 54, Hinjewadi, Pune",37948,Maharashtra,India,No,3669032293,divit97@gmail.com,Badminton
RGPV0449,Mishti Bala,Male,6th,AIML,98,85,80,52,49,53,5,63.8,Average,Gatik Chandran,Hazel Basak,AB+,08-09-2002,20,Jalandhar,"House No. 929, Lajpat Nagar, Jalandhar",256438,Punjab,India,No,7563929787,ritvikgulati@yahoo.com,Kabaddi
RGPV0450,Ivana Rege,Male,6th,AIDS,94,91,47,87,79,71,6,75,Excellent,Tara Loke,Tiya Bava,B+,18-11-2002,21,Mumbai,"House No. 207, Bandra, Mumbai",613949,Maharashtra,India,Yes,2051119228,ira08@kannan-jha.org,Chess
RGPV0451,Jivika Tailor,Male,6th,CSE,81,82,72,61,47,90,6,70.4,Average,Zaina Sen,Farhan Bobal,AB-,25-07-2003,20,Jabalpur,"House No. 536, Napier Town, Jabalpur",565468,Madhya Pradesh,India,No,7883107695,vritika93@anne-raman.com,Chess
RGPV0452,Dhruv Madan,Female,6th,DS,64,60,59,76,78,50,5,64.6,Average,Lagan Gokhale,Umang Dayal,A-,26-04-2000,20,Chennai,"House No. 980, T Nagar, Chennai",388294,Tamil Nadu,India,Yes,6686802471,ccherian@hotmail.com,Football
RGPV0453,Veer Bajwa,Male,6th,CSE,67,80,65,56,99,58,6,71.6,Average,Prisha Bumb,Saanvi Bose,O-,16-12-2002,20,Lucknow,"House No. 181, Hazratganj, Lucknow",934126,Uttar Pradesh,India,No,9241669627,bordegatik@yahoo.com,Badminton
RGPV0454,Faiyaz Seshadri,Male,6th,DS,97,51,45,84,56,43,4,55.8,Poor,Rhea Boase,Sumer Shenoy,B+,06-06-2002,21,Ludhiana,"House No. 556, Model Town, Ludhiana",234710,Punjab,India,No,4503470080,dgulati@hotmail.com,
RGPV0455,Oorja Ganesh,Male,6th,AIDS,64,67,96,66,94,98,7,84.2,Excellent,Dhanuk Gulati,Devansh Kanda,A-,27-05-2003,20,Jalandhar,"House No. 651, Urban Estate, Jalandhar",485247,Punjab,India,No,9177824796,shahansh@hotmail.com,Football
RGPV0456,Anahita Chana,Male,6th,AIDS,91,76,84,69,59,69,6,71.4,Average,Rania Deep,Nishith Setty,AB+,08-12-2003,19,Surat,"House No. 225, Katargam, Surat",6,Gujarat,India,No,6059064644,hroy@gmail.com,Chess
RGPV0457,Dishani Sachdev,Male,6th,CSIT,68,45,50,66,98,95,6,70.8,Average,Zeeshan Cheema,Sahil Anand,AB+,17-07-2004,20,Ludhiana,"House No. 654, Model Town, Ludhiana",370468,Punjab,India,No,3462199456,aaravsama@deshmukh.com,
RGPV0458,Romil Dass,Male,6th,AIML,67,53,53,51,88,95,5,68,Average,Mohanlal Shroff,Jivika Yohannan,AB-,10-02-2001,20,Mangalore,"House No. 895, Hampankatta, Mangalore",720270,Karnataka,India,Yes,9693011956,anandkiaan@sahota-joshi.com,Chess
RGPV0459,Alia Kapadia,Female,6th,AIML,80,77,94,73,67,95,7,81.2,Excellent,Tejas Gill,Prisha Malhotra,B-,19-11-2002,21,Gaya,"House No. 444, AP Colony, Gaya",76817,Bihar,India,No,436958550,shalv69@madan.info,Badminton
RGPV0460,Aniruddh Bhat,Male,6th,AIDS,82,81,49,96,79,42,5,69.4,Average,Yakshit Halder,Kiaan Sodhi,AB+,24-07-2001,20,Coimbatore,"House No. 220, Saibaba Colony, Coimbatore",373021,Tamil Nadu,India,Yes,5039531497,nayantaraborde@thaker.com,Badminton
RGPV0461,Indrans Dasgupta,Female,6th,AIDS,99,51,96,62,97,89,6,79,Excellent,Lavanya Bhatti,Anahita Dash,A+,03-01-2008,20,Ahmedabad,"House No. 858, Maninagar, Ahmedabad",695497,Gujarat,India,No,607942303,tararaman@hotmail.com,Chess
RGPV0462,Zain Reddy,Male,6th,CSIT,97,68,70,60,94,40,5,66.4,Average,Yasmin Sha,Alia Basak,AB+,25-11-2002,20,Nagpur,"House No. 909, Sadar, Nagpur",509144,Maharashtra,India,Yes,4231800125,indrajit21@malhotra-bumb.com,Badminton
RGPV0463,Sara Sundaram,Female,6th,AIML,91,76,54,57,41,80,5,61.6,Average,Nishith Lala,Nirvi Raja,AB+,02-05-2002,21,Vadodara,"House No. 803, Gotri, Vadodara",559358,Gujarat,India,Yes,8854729636,gadeadira@gmail.com,Football
RGPV0464,Kabir Chowdhury,Female,6th,CSE,89,56,59,80,45,64,5,60.8,Average,Zaina Baral,Purab Tiwari,B-,31-08-2001,20,Amritsar,"House No. 672, Ranjit Avenue, Amritsar",673409,Punjab,India,No,4816426695,saanvibasu@gmail.com,Badminton
RGPV0465,Saira Hegde,Male,6th,CSIT,79,73,44,57,62,75,5,62.2,Average,Diya Varughese,Sana Guha,A-,02-03-2006,21,Varanasi,"House No. 774, Bhelupur, Varanasi",730567,Uttar Pradesh,India,Yes,1715853240,onkar19@bora-dhar.com,Football
RGPV0466,Madhav Kadakia,Female,6th,CSIT,92,92,43,81,83,64,6,72.6,Average,Chirag Bali,Jayant Thakur,O-,08-02-2004,20,Pune,"House No. 167, Kothrud, Pune",409504,Maharashtra,India,Yes,1407361547,ranbir83@yahoo.com,Cricket
RGPV0467,Vaibhav Sampath,Male,6th,AIML,94,82,60,99,49,80,6,74,Average,Manjari Basak,Hazel Iyer,B+,15-03-2005,21,Surat,"House No. 480, Katargam, Surat",476411,Gujarat,India,Yes,9479282706,zaina26@wason.com,Football
RGPV0468,Hiran Gour,Female,6th,DS,80,79,56,93,73,84,6,77,Excellent,Aarav Mand,Aarush Wagle,AB-,05-11-2005,20,Siliguri,"House No. 349, Pradhan Nagar, Siliguri",850571,West Bengal,India,No,7883298005,thakerraunak@hotmail.com,Cricket
RGPV0469,Mannat Wagle,Male,6th,AIDS,76,69,56,40,99,46,5,62,Average,Divyansh Sheth,Taimur Bhatt,A-,15-02-2007,21,Jaipur,"House No. 99, Malviya Nagar, Jaipur",702743,Rajasthan,India,No,3787741222,uganguly@bajwa-lanka.com,Chess
RGPV0470,Jivin Balay,Male,6th,AIDS,79,54,70,57,97,73,6,70.2,Average,Amira Master,Rasha Sinha,O-,18-10-2004,19,Jalandhar,"House No. 65, Urban Estate, Jalandhar",699144,Punjab,India,Yes,7088358078,bajwagatik@khurana.biz,Cricket
RGPV0471,Azad Sarkar,Male,6th,DS,94,76,51,88,77,76,6,73.6,Average,Renee Aurora,Indrans Swaminathan,A+,10-12-2005,19,Mumbai,"House No. 823, Bandra, Mumbai",200907,Maharashtra,India,Yes,4244815573,borramisha@date-viswanathan.com,Chess
RGPV0472,Manjari Dugar,Male,6th,CSIT,85,65,51,83,89,76,6,72.8,Average,Aradhya Bobal,Vaibhav Sarin,O+,30-12-2002,19,Udaipur,"House No. 581, Hiran Magri, Udaipur",182709,Rajasthan,India,No,1210706324,krana@yahoo.com,Cricket
RGPV0473,Chirag Venkatesh,Female,6th,AIDS,75,65,92,55,88,65,6,73,Average,Ayesha Basu,Miraya Singhal,O-,01-12-2005,20,Nagpur,"House No. 598, Dharampeth, Nagpur",521250,Maharashtra,India,Yes,2947584337,thakurishaan@hotmail.com,Kabaddi
RGPV0474,Hansh Jhaveri,Female,6th,CSIT,98,42,45,64,80,58,4,57.8,Poor,Sahil Wable,Reyansh Savant,AB+,07-08-2001,19,Jodhpur,"House No. 942, Ratanada, Jodhpur",48310,Rajasthan,India,No,3950122154,bawanayantara@deshpande-saran.com,Chess
RGPV0475,Alia Bhatia,Male,6th,CSE,60,58,52,97,65,71,5,68.6,Average,Vihaan Kuruvilla,Keya Soni,B-,02-01-2004,20,Kanpur,"House No. 427, Kidwai Nagar, Kanpur",545276,Uttar Pradesh,India,No,6283912769,riya61@hotmail.com,
RGPV0476,Damini Basu,Male,6th,DS,98,90,66,71,95,86,7,81.6,Excellent,Anvi Apte,Kavya Raja,AB-,29-01-2006,20,Varanasi,"House No. 471, Bhelupur, Varanasi",531265,Uttar Pradesh,India,No,2381769765,vardaniya93@handa.com,Chess
RGPV0477,Sana Dutt,Female,6th,CSE,69,58,75,71,77,92,6,74.6,Average,Shanaya Chadha,Jayan Mangal,B+,04-09-2005,21,Siliguri,"House No. 424, Sevoke Road, Siliguri",463102,West Bengal,India,No,3175999323,sana47@gmail.com,Kabaddi
RGPV0478,Taran Upadhyay,Male,6th,CSIT,80,49,40,84,75,44,4,58.4,Poor,Navya Bhalla,Nayantara Wadhwa,B+,22-12-2005,20,Coimbatore,"House No. 333, RS Puram, Coimbatore",31398,Tamil Nadu,India,No,7779525673,uthkarshganesh@dada-tripathi.com,
